unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
14306195,1475,【途遇】拉萨河畔大昭寺旁阳光大床房,91.13995267678355,29.6447807827241,生态路(仙足岛花园小区一号门),近仙足岛,268,242,拉萨,城关区,整套,1居1床2人,5.0,16
12267172,1475,大昭寺/布达拉宫·观景标间·送明信片,91.14267,29.66906,拉萨悦慢客栈(原桑闪客栈),近扎基寺,268,242,拉萨,城关区,整套,1居2床2人,4.6,12
7832896,1475,云上悠游三人大床标间双床房(供暖三天接站,91.12498299999992,29.681651994462474,曲米康桑小区(巴尔库路曲米康桑小区),近扎基寺,368,350,拉萨,城关区,整套,1居2床3人,5.0,9
12667824,1475,然而音乐小栈-吉他主题 双床标间（公卫）,91.1729,29.66992,城关花园-A区(西三排),近市政府,158,151,拉萨,城关区,整套,1居2床2人,5.0,26
14340922,1475,【途遇】拉萨河畔大昭寺旁商务标准间,91.14058119387661,29.64637320464767,仙足岛花园小区(1号门)(仙足岛花园小区一号门),近仙足岛,268,242,拉萨,城关区,整套,1居2床2人,5.0,21
12267410,1475,大昭寺/布达拉宫·独卫标准间•送明信片,91.14267,29.66906,拉萨悦慢客栈(原桑闪客栈),近扎基寺,118,107,拉萨,城关区,整套,1居2床2人,4.7,12
12672444,1475,ins舒适dream单人间,91.172733,29.6677,拉萨奇葩客栈(纳金路城关花园B区西一排一号),近市政府,108,98,拉萨,城关区,整套,1居1床2人,4.9,7
380657,1475,拉萨斯维登世邦东城一号布达拉宫观景双卧套房,91.17601,29.654385,江冲路15号东城一号西门,近市政府,366,366,拉萨,城关区,整套,2居2床4人,4.5,22
12668048,1475,然而音乐小栈-超小迷你单间行李放门外公卫,91.172972,29.669889,城关花园-A区(西三排),近市政府,78,75,拉萨,城关区,整套,1居1床1人,5.0,45
10524109,1475,入住4晚免费接机|行蕴藏迹大床|近大昭寺,91.124979,29.669706,当热西路(纵横商务会所对面巷子到底),近布达拉宫,728,583,拉萨,城关区,整套,1居1床2人,5.0,14
12672633,1475,ins舒适love,91.172733,29.6677,拉萨奇葩客栈(纳金路城关花园B区西1排),近市政府,108,98,拉萨,城关区,整套,1居1床2人,4.6,7
12268754,1475,近布达拉宫藏式别墅阳光精品三人间（独卫）,91.13603291681184,29.67010727562968,团结新村社区(北2门)(藏家宴对面),近布达拉宫,168,152,拉萨,城关区,,2居3床4人,4.4,4
12093320,1475,然而音乐小栈-藏式 双床 大标间（公卫）,91.172981,29.669818,城关花园-A区(西三排),近市政府,158,151,拉萨,城关区,整套,1居2床2人,5.0,17
10320325,1475,拉萨拾光榻榻米标间（电暖气电热毯加湿器）,91.141022,29.644374,仙足岛花园小区(無名精品客栈),近仙足岛,228,206,拉萨,城关区,整套,1居2床2人,4.9,5
12267018,1475,大昭寺/布达拉宫·独卫大床房•送明信片,91.14267,29.66906,拉萨悦慢客栈(原桑闪客栈),近扎基寺,268,242,拉萨,城关区,整套,1居1床2人,4.6,12
27403363,1475,心灵复苏飘窗双床间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,188,188,运城,城关区,整套,1居2床2人,0.0,0
13150817,1475,布达拉宫 大小昭寺 宫悦别院 三人间,91.141075,29.667013,宫悦别院藏家酒店(色拉南路雄嘎2组（团结新村东门对面）),近八廓街/大昭寺,198,169,拉萨,城关区,整套,1居3床3人,5.0,15
472915,1475,湿地公园简约阳光温馨大床房,91.12306887076318,29.690238117260503,麻迦曲童路(嘎吉康萨小区),近色拉寺,498,449,拉萨,城关区,整套,1居1床2人,4.8,24
9235052,1475,大昭寺周边温馨双人间独卫加湿器带供暖,91.15695599999997,29.65903700270156,嘎玛贡桑路-道路(蜜贡小碗菜巷子里20米),近西藏大学,138,125,拉萨,城关区,整套,1居2床2人,4.9,6
27395579,1475,心灵复苏双景双床间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,168,168,运城,城关区,整套,1居2床2人,0.0,0
22076069,1475,【禅语●拉萨河畔大床房●供氧供暖】,91.13128699999997,29.644231003055925,两岛街道 ,近仙足岛,218,186,拉萨,城关区,整套,1居1床2人,0.0,0
10359266,1475,南方姑娘阳台大床房,91.12776040225776,29.64587577971883,环岛南路(生态小区西门青海会馆前面源满公寓对面),近仙足岛,98,98,拉萨,城关区,整套,1居1床2人,4.4,8
11509576,1475,馨宿缘—免费供氧北欧风大床房,91.15000905299851,29.61837815204726, Y102(慈觉林文化创意园区红花广场),近文成公主剧场,280,280,拉萨,城关区,整套,1居1床2人,5.0,2
27402985,1475,心灵复苏拉萨阳光大床间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,198,198,运城,城关区,整套,1居1床2人,0.0,0
11794091,1475,拉萨遇见小清新双人间（电暖气电热毯加湿）,91.13994724276957,29.645061883025143,仙足岛花园小区(無名精品客栈),近仙足岛,268,242,拉萨,城关区,整套,1居2床2人,5.0,1
12667740,1475,然而音乐小栈-钢琴主题大床房（公卫）,91.172945,29.66981,城关花园-A区(西三排),近市政府,158,151,拉萨,城关区,整套,1居1床2人,4.9,20
11509324,1475,馨宿缘—免费供氧ins风大床房,91.15000905299851,29.61837815204726, Y102(慈觉林文化创意园区红花广场),近文成公主剧场,280,280,拉萨,城关区,整套,1居1床2人,5.0,2
27403664,1475,心灵复苏飘窗大床间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,198,198,运城,城关区,整套,1居1床2人,0.0,0
14304270,1475,【途遇】拉萨河畔大昭寺旁一米阳光三人间,91.14009946478294,29.644943959319804, 生态路(仙足岛花园小区1号门),近仙足岛,298,269,拉萨,城关区,整套,1居3床3人,5.0,22
13150719,1475,布达拉宫 大小昭寺 宫悦别院 美景大床房,91.141075,29.667013,宫悦别院藏家酒店(色拉南路雄嘎2组（团结新村东门对面）),近八廓街/大昭寺,198,169,拉萨,城关区,整套,1居1床2人,5.0,9
12045881,1475,清新自然布宫观景房,91.15000905299851,29.61837815204726, Y102(慈觉林文化创意园区红花广场),近文成公主剧场,280,280,拉萨,城关区,整套,1居1床2人,5.0,1
27403139,1475,心灵复苏拉萨阳光庭院三人间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,208,208,运城,城关区,整套,1居3床3人,0.0,0
10359084,1475,南方姑娘特色温馨大床房,91.12776576779127,29.645877271331702,环岛南路(生态小区西门青海会馆前面源满公寓对面),近仙足岛,98,98,拉萨,城关区,整套,1居1床2人,5.0,2
380659,1475,拉萨斯维登世邦东城一号舒适大床房,91.17601,29.654385,江冲路15号东城一号西门,近市政府,295,295,拉萨,城关区,整套,1居1床2人,4.7,13
14937490,1475,大四喜供暖豪华标间,91.1643750755235,29.65897599193251,眠去民宿(本民宿在次安墙角包子茶馆与尼泊尔商店中间),近西藏大学,258,233,拉萨,城关区,整套,1居2床2人,4.8,2
27403209,1475,心灵复苏星空大床间（菩提花开店）,91.138383,29.669531,拉萨心灵复苏酒店(菩提花开店),近扎基寺,188,188,运城,城关区,整套,1居1床2人,0.0,0
12672689,1475,ins舒适Xinjiang,91.172733,29.6677,拉萨奇葩客栈(纳金路城关花园B区西1排),近市政府,138,125,拉萨,城关区,整套,1居2床2人,5.0,2
14003508,1475,入住4晚免费接机|缘觉藏念套房|近大昭寺,91.124979,29.669706,当热西路(纵横商务会所对面巷子到底),近布达拉宫,880,704,拉萨,城关区,整套,1居1床2人,5.0,9
10359609,1475,南方姑娘温馨双人间,91.12775685589408,29.645874367705712,环岛南路(生态小区源满公寓对面),近仙足岛,98,98,拉萨,城关区,整套,1居2床2人,5.0,1
12046126,1475,馨宿缘—免费供氧北欧风公寓,91.15000905299851,29.61837815204726, Y102(慈觉林文化创意园区红花广场),近文成公主剧场,280,280,拉萨,城关区,整套,1居1床2人,4.7,3
