city,totalNum,meanProductPrice,meanFinalPrice,meanStars,meanCommit
beijing,40768,1106,1106,3.01,18.61
shanghai,35262,584,548,3.78,20.43
guangzhou,37137,461,436,3.31,18.2
shenzhen,23111,518,490,3.2,10.31
suzhou,16988,675,643,3.09,11.26
chengdu,39657,319,297,3.56,40.61
chongqing,36942,324,295,3.69,29.49
xian,32799,264,246,3.75,19.91
wuhan,23340,300,300,4.68,23.62
xiamen,14898,448,410,3.89,61.24
qingdao,26548,403,379,3.39,15.97
wulumuqi,729,462,446,2.18,3.97
lasa,1475,237,233,1.41,2.51
