unitId,总数,标题,经度,维度,地址,信息,原价,现价,城市,区域,整套,布局,评分,点评
16909173,32799,【染指年华】钟鼓楼永兴坊回民大明宫两居室,108.954343,34.296786,宫园壹号5号楼,近龙首原地铁站,328,303,西安,未央区,整套,2居3床4人,0.0,0
6488603,32799,明城墙南稍门地铁口100米高层暖气夜景房,108.953067,34.248351,中贸广场-5号楼,近南稍门地铁站,295,281,西安,碑林区,整套,2居2床4人,4.8,2
6357528,32799,【路客】限时长租丨『雁塔流金』小雁塔,108.94887708305373,34.25145913705885,朱雀东坊路西安公馆,近永宁门地铁站,343,326,西安,碑林区,整套,2居2床4人,5.0,2
2818641,32799,雅致标间,108.96866241029265,34.28008786722066,西七路与解放路交叉口(解放路与西七路十字西北角保康大厦),近五路口地铁站,118,107,西安,新城区,整套,1居2床2人,0.0,0
6029858,32799,近大雁塔大唐芙蓉园会展中心地铁一居室整租,108.95232139331426,34.207994183663104,长安南路168号,近会展中心地铁站,161,146,西安,雁塔区,整套,1居1床2人,5.0,7
9241100,32799,西安美途公寓两房一厅套房,108.95297,34.249117,南稍门中贸广场15号楼4单元1013室,近南稍门地铁站,279,279,西安,碑林区,整套,3床5人,0.0,0
13566540,32799,钟楼驿站·望长安·现代奢享投影大两居,108.9457822877121,34.26383328837426,广济小区-4号楼(广济小区四号楼二单元),近钟楼地铁站,368,350,西安,碑林区,整套,2居2床4人,5.0,13
15598185,32799,【春我部】11旧香港观影房怀旧记忆港片,108.96933613942512,34.24885133482114,李家村万达广场1栋,近建筑科技大学·李家村地铁站,199,180,西安,碑林区,整套,1居1床2人,0.0,0
11665956,32799,【路客】限时长租丨大明宫遗址|直达钟楼,108.95495552633389,34.31514255081263,未央区 未央路与北二环西南角肖家村福利公寓楼,近大明宫西地铁站,263,250,西安,未央区,整套,2居2床4人,5.0,7
9241093,32799,西安美途公寓一房一厅商务标准间,108.95297,34.249117,南稍门中贸广场15号楼4单元1013室,近南稍门地铁站,207,207,西安,碑林区,整套,2床4人,5.0,1
17367953,32799,高新区阳光天地中式田园一居室,108.8710563662975,34.17712007026286,西安楠煋公寓(西部大道与博士路交汇阳光天地SOHO公寓),近高新管委会/绿地会展中心,178,154,西安,长安区,整套,1居1床2人,0.0,0
131739,32799,西安南门小雁塔附近经济3-4人标间,108.939993,34.246917,华豪丽晶,近南稍门地铁站,138,132,西安,碑林区,整套,1居2床2人,0.0,0
